Season,Ranking,Name,Team,TeamRank,Goals
20/21,1,Harry Kane,Tottenham Hotspur,7,23
20/21,2,Mohamed Salah,Liverpool,3,22
20/21,3,Bruno Fernandes,Manchester United,2,18
20/21,4,Patrik Bamford,Leeds United,9,17
20/21,4,Son Heung-Min,Tottenham Hotspur,7,17
20/21,6,Dominic Calvert-Lewin,Everton,10,16
20/21,7,Jamie Vardy,Leicester City,5,15
20/21,8,Ollie Watkins,Aston Villa,11,14
20/21,9,Ilkay Gundogan,Manchester City,1,13
20/21,9,Alexandre Lacazette,Arsenal,8,13
